bssid,rss
58:86:94:35:f8:c8,-89000
d8:c7:c8:df:1a:21,-88999
d8:c7:c8:df:21:71,-88000
d8:c7:c8:df:21:70,-88000
d8:c7:c8:df:19:31,-88000
d8:c7:c8:df:2b:b1,-88000
1c:39:29:15:07:85,-87333
d8:c7:c8:df:19:30,-87000
70:5d:cc:bf:a7:90,-87000
70:5d:cc:82:c9:9e,-87000
da:9c:67:d2:04:51,-86469
d8:c7:c8:df:04:b0,-86468
d8:c7:c8:df:00:a0,-86000
1c:39:29:15:07:3f,-85986
16:cb:19:13:57:4c,-85000
1c:39:29:1e:ad:91,-84997
8a:4e:c1:3a:a1:10,-84814
d8:c7:c8:df:1a:20,-84700
70:5d:cc:ca:93:ac,-84528
d8:c7:c8:df:04:b1,-84472
72:5d:cc:c2:c9:9c,-84057
bc:85:56:3c:8d:69,-84000
24:de:c6:ec:60:71,-83998
70:5d:cc:82:c9:9c,-83471
88:1f:a1:3a:c1:4e,-83290
72:5d:cc:4c:9f:ac,-83000
60:33:4b:e2:fc:4a,-83000
24:de:c6:ec:54:40,-82996
24:de:c6:ec:60:70,-82000
24:de:c6:ec:54:41,-82000
72:5d:cc:cf:a7:90,-80225
24:de:c6:e3:40:f1,-80059
24:de:c6:e3:40:f0,-80058
58:86:94:6d:cf:22,-79710
ac:9e:17:a5:96:1c,-79410
70:5d:cc:ca:89:8f,-78999
72:5d:cc:ca:89:8c,-78999
d8:c7:c8:df:05:d0,-77180
90:9f:33:a8:09:42,-77013
90:9f:33:a9:09:42,-77004
d8:c7:c8:df:05:d1,-76182
58:86:94:29:56:f6,-75590
24:de:c6:ec:60:61,-74938
58:86:94:64:b7:86,-74640
1e:39:29:54:5e:74,-72646
d8:c7:c8:df:19:51,-71990
24:de:c6:ec:60:60,-71882
1c:39:29:10:03:6d,-71016
d8:c7:c8:df:19:50,-70992
b2:52:16:70:cf:55,-70292
24:de:c6:ec:65:11,-69408
24:de:c6:ec:65:10,-68880
70:5d:cc:e7:7f:96,-66999
88:36:6c:a2:50:7a,-66651
ac:9e:17:a5:96:18,-65000
24:de:c6:ec:59:91,-64533
24:de:c6:ec:59:90,-64533
24:de:c6:e3:40:e0,-63470
24:de:c6:e3:40:e1,-63468
70:5d:cc:cb:93:ac,-63022
d8:c7:c8:de:39:b1,-62588
24:de:c6:ec:65:01,-61938
42:49:0f:21:3a:cd,-61287
58:86:94:29:56:f4,-60753
d8:c7:c8:de:39:b0,-60590
24:de:c6:ec:65:00,-60411
24:de:c6:ec:59:81,-57878
24:de:c6:ec:59:80,-57351
24:de:c6:e3:40:90,-49059
24:de:c6:e3:40:91,-49059
24:de:c6:e3:40:81,-46122
24:de:c6:e3:40:80,-44713
