bssid,rss
58:86:94:35:f8:c8,-89000
d8:c7:c8:df:21:70,-88000
d8:c7:c8:df:2b:b1,-88000
70:56:81:ce:82:c3,-87000
1c:39:29:1e:ad:91,-87000
70:5d:cc:bf:a7:90,-87000
64:a5:c3:63:df:67,-87000
d8:c7:c8:df:19:31,-86663
8a:36:6c:cd:18:74,-86000
90:9f:33:10:83:be,-86000
da:9c:67:d2:04:51,-86000
d8:c7:c8:df:04:b0,-86000
d8:c7:c8:df:21:71,-86000
d8:c7:c8:df:01:d1,-86000
d8:c7:c8:df:19:30,-85997
70:5d:cc:ca:93:ac,-85000
72:5d:cc:c2:c9:9c,-84331
d8:c7:c8:df:04:b1,-84000
d8:c7:c8:df:01:d0,-84000
70:5d:cc:82:c9:9c,-83000
58:86:94:6d:cf:22,-82665
d8:c7:c8:df:05:d0,-81336
24:de:c6:ec:60:71,-80992
d8:c7:c8:df:05:d1,-80670
d8:c7:c8:df:1a:20,-80000
d8:c7:c8:df:19:51,-80000
24:de:c6:ec:60:70,-79660
d8:c7:c8:df:19:50,-79000
24:de:c6:e3:40:f1,-78994
24:de:c6:e3:40:f0,-78994
8a:4e:c1:3a:a1:10,-78992
72:5d:cc:cf:a7:90,-78987
70:5d:cc:ca:89:8f,-78331
72:5d:cc:ca:89:8c,-78331
ac:9e:17:a5:96:1c,-78000
88:1f:a1:3a:c1:4e,-76992
58:86:94:29:56:f6,-76665
02:68:eb:52:f7:16,-76000
1e:39:29:54:5e:74,-75668
24:de:c6:ec:60:61,-72663
90:9f:33:a9:09:42,-72321
58:86:94:64:b7:86,-71005
1c:39:29:10:03:6d,-71000
90:9f:33:a8:09:42,-71000
24:de:c6:ec:60:60,-70668
24:de:c6:ec:65:11,-70339
70:5d:cc:cb:93:ac,-70017
b2:52:16:70:cf:55,-70007
d8:c7:c8:de:39:b1,-68678
24:de:c6:ec:65:10,-68670
d8:c7:c8:de:39:b0,-67346
88:36:6c:a2:50:7a,-66326
24:de:c6:ec:59:91,-63663
42:49:0f:21:3a:cd,-63346
24:de:c6:ec:59:90,-63329
24:de:c6:ec:65:01,-62002
24:de:c6:e3:40:e1,-61329
24:de:c6:e3:40:e0,-60660
24:de:c6:ec:65:00,-60002
58:86:94:29:56:f4,-59339
24:de:c6:ec:59:81,-56000
24:de:c6:ec:59:80,-55334
24:de:c6:e3:40:90,-49331
24:de:c6:e3:40:91,-48997
24:de:c6:e3:40:81,-46329
24:de:c6:e3:40:80,-46329
