bssid,rss
58:86:94:35:f8:c8,-89000
d8:c7:c8:df:19:31,-88000
d8:c7:c8:df:2b:b1,-88000
d8:c7:c8:df:19:30,-87000
d8:c7:c8:df:04:b0,-86000
da:9c:67:d2:04:51,-86000
70:5d:cc:ca:93:ac,-85000
72:5d:cc:c2:c9:9c,-85000
72:5d:cc:cf:a7:90,-84000
24:de:c6:ec:60:71,-84000
d8:c7:c8:df:04:b1,-84000
70:5d:cc:82:c9:9c,-83000
58:86:94:6d:cf:22,-83000
8a:4e:c1:3a:a1:10,-82000
24:de:c6:ec:60:70,-82000
24:de:c6:e3:40:f1,-81000
24:de:c6:e3:40:f0,-81000
88:1f:a1:3a:c1:4e,-80000
d8:c7:c8:df:1a:20,-80000
d8:c7:c8:df:05:d0,-80000
d8:c7:c8:df:05:d1,-79000
70:5d:cc:ca:89:8f,-79000
72:5d:cc:ca:89:8c,-79000
ac:9e:17:a5:96:1c,-78000
90:9f:33:a9:09:42,-77000
58:86:94:29:56:f6,-77000
1e:39:29:54:5e:74,-75000
24:de:c6:ec:60:61,-74000
1c:39:29:10:03:6d,-71000
24:de:c6:ec:60:60,-70000
58:86:94:64:b7:86,-69000
88:36:6c:a2:50:7a,-69000
24:de:c6:ec:65:11,-68000
24:de:c6:ec:65:10,-67000
b2:52:16:70:cf:55,-67000
24:de:c6:ec:59:90,-65000
24:de:c6:ec:59:91,-65000
d8:c7:c8:de:39:b1,-64000
24:de:c6:e3:40:e0,-63000
70:5d:cc:cb:93:ac,-63000
24:de:c6:e3:40:e1,-63000
d8:c7:c8:de:39:b0,-62000
24:de:c6:ec:65:01,-61000
24:de:c6:ec:65:00,-59000
42:49:0f:21:3a:cd,-58000
58:86:94:29:56:f4,-57000
24:de:c6:ec:59:81,-56000
24:de:c6:ec:59:80,-55000
24:de:c6:e3:40:90,-50000
24:de:c6:e3:40:91,-50000
24:de:c6:e3:40:80,-48000
24:de:c6:e3:40:81,-48000
