bssid,rss
8a:36:6c:cd:18:74,-88996
d8:c7:c8:df:05:d0,-88995
d8:c7:c8:df:05:d1,-88995
d8:c7:c8:df:02:91,-88000
d8:c7:c8:df:19:30,-88000
1c:39:29:15:07:3f,-88000
d8:c7:c8:df:02:90,-87999
70:5d:cc:82:c9:9e,-87000
d8:c7:c8:df:19:31,-86000
24:de:c6:ec:54:51,-86000
d8:c7:c8:df:21:70,-86000
70:5d:cc:bf:a7:90,-86000
1c:39:29:1e:ad:91,-86000
d8:c7:c8:df:00:b0,-85000
90:9f:33:10:83:be,-84000
d8:c7:c8:df:21:71,-83000
d8:c7:c8:df:00:b1,-83000
58:86:94:4a:1a:e0,-82997
00:26:66:a6:a3:18,-82001
60:38:e0:c4:e8:9c,-82000
da:9c:67:d2:04:51,-82000
16:cb:19:13:89:25,-81500
58:86:94:0e:d5:82,-80000
72:5d:cc:c2:c9:9c,-80000
70:5d:cc:07:d0:06,-80000
58:86:94:29:56:f6,-79998
1e:39:29:54:5e:74,-79993
24:de:c6:ec:60:70,-78999
24:de:c6:ec:60:71,-78998
72:5d:cc:cf:a7:90,-78998
70:5d:cc:82:c9:9c,-78500
02:68:eb:52:f7:16,-78000
d8:c7:c8:df:19:50,-77996
58:86:94:6d:cf:22,-77000
d8:c7:c8:df:19:51,-76996
64:a5:c3:63:df:66,-76996
1c:39:29:10:03:6d,-76994
72:5d:cc:ca:89:8c,-76001
d8:c7:c8:de:39:b0,-75997
70:5d:cc:ca:89:8f,-75001
d8:c7:c8:de:39:b1,-74997
8a:4e:c1:3a:a1:10,-74996
24:de:c6:e3:40:f1,-73003
24:de:c6:e3:40:f0,-73002
24:de:c6:ec:65:10,-72999
24:de:c6:ec:65:11,-72001
58:86:94:64:b7:86,-72000
42:49:0f:21:3a:cd,-70990
88:1f:a1:3a:c1:4e,-70000
b2:52:16:70:cf:55,-68997
90:9f:33:a8:09:42,-68000
24:de:c6:ec:59:90,-67995
24:de:c6:ec:59:91,-66996
70:5d:cc:cb:93:ac,-66001
24:de:c6:e3:40:e1,-63002
24:de:c6:e3:40:e0,-63001
24:de:c6:ec:60:61,-62999
90:9f:33:a9:09:42,-62998
24:de:c6:ec:60:60,-62000
70:5d:cc:e7:7f:96,-62000
88:36:6c:a2:50:7a,-61996
24:de:c6:ec:65:00,-59500
58:86:94:29:56:f4,-59001
24:de:c6:ec:65:01,-58002
24:de:c6:e3:40:91,-54996
24:de:c6:e3:40:90,-54996
24:de:c6:ec:59:81,-54003
24:de:c6:ec:59:80,-54001
24:de:c6:e3:40:81,-48995
24:de:c6:e3:40:80,-46999
