bssid,rss
1c:39:29:1e:ad:91,-88000
d8:c7:c8:df:19:31,-88000
d8:c7:c8:df:19:30,-88000
58:86:94:6d:cf:22,-87000
d8:c7:c8:df:05:d1,-86000
d8:c7:c8:df:05:d0,-86000
72:5d:cc:cf:a7:90,-86000
70:5d:cc:bf:a7:90,-86000
42:49:0f:21:3a:cd,-86000
70:5d:cc:82:c9:9c,-85000
d8:c7:c8:df:00:b1,-85000
d8:c7:c8:df:19:51,-84000
d8:c7:c8:df:19:50,-83000
90:9f:33:10:83:be,-83000
70:5d:cc:e7:7f:96,-83000
1c:39:29:10:03:6d,-83000
b2:52:16:70:cf:55,-82000
60:38:e0:c4:e8:9c,-82000
da:9c:67:d2:04:51,-80000
58:86:94:29:56:f6,-80000
70:5d:cc:ca:89:8e,-80000
24:de:c6:e3:40:f1,-79000
d8:c7:c8:df:21:70,-78000
24:de:c6:e3:40:f0,-78000
70:5d:cc:ca:89:8f,-78000
24:de:c6:ec:65:01,-78000
d8:c7:c8:df:21:71,-78000
24:de:c6:ec:60:70,-78000
88:36:6c:a2:50:7a,-78000
72:5d:cc:ca:89:8c,-77000
24:de:c6:ec:60:71,-77000
24:de:c6:ec:65:10,-76000
24:de:c6:ec:65:00,-76000
24:de:c6:ec:65:11,-76000
24:de:c6:e3:40:e0,-75000
64:a5:c3:63:df:66,-75000
90:9f:33:a8:09:42,-73000
90:9f:33:a9:09:42,-72000
88:1f:a1:3a:c1:4e,-67000
8a:4e:c1:3a:a1:10,-67000
d8:c7:c8:de:39:b1,-67000
d8:c7:c8:de:39:b0,-66000
24:de:c6:ec:59:91,-64000
24:de:c6:ec:59:90,-63000
24:de:c6:ec:59:81,-61000
24:de:c6:ec:59:80,-60000
24:de:c6:e3:40:91,-43000
24:de:c6:e3:40:90,-43000
24:de:c6:e3:40:81,-39000
24:de:c6:e3:40:80,-39000
