bssid,rss
58:86:94:64:b7:86,-89000
d8:c7:c8:df:19:31,-88000
58:86:94:6d:cf:22,-88000
d8:c7:c8:df:19:30,-88000
70:5d:cc:82:c9:9e,-87000
72:5d:cc:4c:9f:ac,-87000
00:26:66:a6:a3:18,-85000
58:86:94:61:03:8a,-85000
70:5d:cc:ca:89:8f,-85000
72:5d:cc:ca:89:8c,-85000
88:1f:a1:3a:c1:4f,-85000
72:5d:cc:cf:a7:90,-84000
8a:4f:c1:3a:a1:10,-84000
d8:c7:c8:df:00:a1,-84000
d8:c7:c8:df:02:91,-83000
1e:39:29:54:5e:74,-83000
1c:39:29:1e:ad:91,-83000
d8:c7:c8:df:02:90,-82000
d8:c7:c8:df:00:a0,-81000
60:38:e0:c4:e8:9a,-81000
24:de:c6:e3:40:f0,-80000
60:38:e0:c4:e8:9b,-80000
70:5d:cc:e7:7f:96,-80000
58:86:94:29:56:f6,-80000
70:5d:cc:82:c9:9c,-79000
64:a5:c3:63:df:66,-79000
24:de:c6:e3:40:f1,-79000
da:9c:67:d2:04:51,-77000
60:38:e0:c4:e8:9c,-77000
fa:8f:ca:5b:61:3d,-77000
60:38:e0:c4:e8:99,-77000
58:86:94:0e:d5:82,-76000
24:de:c6:ec:65:11,-76000
24:de:c6:ec:65:10,-75000
02:68:eb:52:f7:16,-75000
d8:c7:c8:de:39:b0,-73000
d8:c7:c8:de:39:b1,-73000
90:9f:33:a9:09:42,-73000
70:5d:cc:ca:89:8e,-71000
24:de:c6:ec:65:00,-69000
24:de:c6:ec:65:01,-69000
90:9f:33:a8:09:42,-69000
88:36:6c:a2:50:7a,-67000
24:de:c6:e3:40:e0,-66000
88:1f:a1:3a:c1:4e,-66000
24:de:c6:e3:40:e1,-65000
72:5d:cc:c2:c9:9c,-65000
58:86:94:29:56:f4,-64000
d8:c7:c8:df:21:70,-63000
d8:c7:c8:df:21:71,-63000
8a:4e:c1:3a:a1:10,-61000
24:de:c6:ec:59:90,-60000
24:de:c6:ec:59:91,-60000
24:de:c6:ec:59:81,-55000
24:de:c6:ec:59:80,-55000
24:de:c6:e3:40:91,-45000
24:de:c6:e3:40:90,-45000
24:de:c6:e3:40:81,-43000
24:de:c6:e3:40:80,-42000
