bssid,rss
88:36:6c:42:77:20,-89000
70:5d:cc:cb:93:ac,-89000
58:86:94:64:b7:86,-89000
d8:c7:c8:df:19:30,-88000
d8:c7:c8:df:19:31,-88000
58:86:94:6d:cf:22,-87997
70:5d:cc:82:c9:9e,-87001
72:5d:cc:4c:9f:ac,-87000
8a:36:6c:52:77:20,-87000
00:26:66:a6:a3:18,-85000
88:1f:a1:3a:c1:4f,-85000
70:5d:cc:bf:a7:90,-85000
1c:39:29:15:07:3f,-85000
58:86:94:35:ef:6d,-85000
70:5d:cc:ca:89:8f,-84999
72:5d:cc:ca:89:8c,-84998
58:86:94:61:03:8a,-84995
8a:4f:c1:3a:a1:10,-84002
72:5d:cc:cf:a7:90,-84000
d8:c7:c8:df:00:a1,-84000
24:de:c6:ec:54:40,-84000
64:a5:c3:63:df:67,-83666
1e:39:29:54:5e:74,-83001
d4:5d:64:a0:6c:c0,-83000
90:9f:33:10:83:be,-83000
d8:c7:c8:df:19:51,-83000
1c:39:29:1e:ad:91,-82999
d8:c7:c8:df:02:91,-82993
2c:6f:c9:1e:1f:ac,-82000
ac:9e:17:a5:96:1c,-82000
d8:c7:c8:df:19:50,-82000
d8:c7:c8:df:02:90,-81997
64:e5:99:32:fc:38,-81000
d8:c7:c8:df:00:a0,-81000
2c:56:dc:84:e6:a8,-81000
60:38:e0:c4:e8:9a,-80998
58:86:94:29:56:f6,-80003
60:38:e0:c4:e8:9b,-80000
70:5d:cc:e7:7f:96,-79999
24:de:c6:e3:40:f0,-79993
42:49:0f:21:3a:cd,-79666
88:36:6c:ad:18:74,-79333
70:5d:cc:82:c9:9c,-79005
24:de:c6:e3:40:f1,-78995
64:a5:c3:63:df:66,-78991
fa:8f:ca:5b:61:3d,-77000
60:38:e0:c4:e8:9c,-76996
60:38:e0:c4:e8:99,-76995
da:9c:67:d2:04:51,-76994
b2:52:16:70:cf:55,-76500
58:86:94:0e:d5:82,-76003
24:de:c6:ec:65:11,-75998
24:de:c6:ec:65:10,-75000
02:68:eb:52:f7:16,-74997
d8:c7:c8:de:39:b0,-73000
d8:c7:c8:de:39:b1,-72999
90:9f:33:a9:09:42,-72981
70:5d:cc:ca:89:8e,-71009
8a:36:6c:cd:18:74,-70666
24:de:c6:ec:65:00,-69006
24:de:c6:ec:65:01,-69002
90:9f:33:a8:09:42,-68997
88:36:6c:a2:50:7a,-67001
88:1f:a1:3a:c1:4e,-65998
24:de:c6:e3:40:e0,-65997
72:5d:cc:c2:c9:9c,-65018
24:de:c6:e3:40:e1,-65002
58:86:94:29:56:f4,-64010
d8:c7:c8:df:21:71,-63006
d8:c7:c8:df:21:70,-63006
8a:4e:c1:3a:a1:10,-61008
24:de:c6:ec:59:91,-60000
24:de:c6:ec:59:90,-59999
24:de:c6:ec:59:81,-55000
24:de:c6:ec:59:80,-55000
24:de:c6:e3:40:90,-44997
24:de:c6:e3:40:91,-44997
24:de:c6:e3:40:81,-42997
24:de:c6:e3:40:80,-42000
