bssid,rss
fa:8f:ca:5b:61:3d,-87000
00:5f:67:7e:3a:a6,-87000
70:5d:cc:82:c9:9c,-86000
24:de:c6:ec:59:80,-84001
2c:56:dc:84:e6:ac,-84000
24:de:c6:ec:59:81,-84000
16:cb:19:13:57:4c,-82000
d4:5d:64:a0:6c:c4,-81994
70:5d:cc:e3:01:36,-81987
3a:ca:84:36:96:72,-81000
58:86:94:59:1c:82,-79998
58:86:94:0e:d5:82,-79500
24:de:c6:e3:40:91,-78997
24:de:c6:e3:40:90,-78996
90:9f:33:d7:ac:fa,-77002
24:de:c6:e3:40:81,-77000
24:de:c6:e3:40:80,-77000
64:a5:c3:63:df:67,-75999
16:18:c3:9e:8f:c2,-75003
16:cb:19:13:89:25,-75001
90:9f:33:a8:09:42,-74997
64:e5:99:32:fc:38,-74500
d8:c7:c8:df:02:91,-73994
00:26:66:87:04:b4,-73993
d8:c7:c8:df:02:90,-72997
64:09:80:27:68:55,-72000
64:a5:c3:63:df:66,-70000
2c:56:dc:84:e6:a8,-69011
8a:4f:c1:3a:a1:10,-67991
d4:5d:64:a0:6c:c0,-67007
70:5d:cc:dc:82:07,-66999
88:1f:a1:3a:c1:4f,-66992
72:5d:cc:c2:c9:9c,-66015
58:86:94:59:1c:80,-65998
70:5d:cc:dc:82:09,-65994
40:ca:63:77:80:5b,-64014
90:9f:33:a9:09:42,-63004
d8:c7:c8:df:21:70,-60990
d8:c7:c8:df:21:71,-60988
2c:6f:c9:1e:1f:ac,-57991
60:38:e0:c4:e8:99,-56992
60:38:e0:c4:e8:9c,-56991
90:9f:33:d7:ac:f8,-56016
da:9c:67:d2:04:51,-55019
88:36:6c:ad:18:74,-54994
60:38:e0:c4:e8:9b,-53999
60:38:e0:c4:e8:9a,-53998
8a:36:6c:cd:18:74,-52989
70:5d:cc:dc:82:05,-50014
88:1f:a1:3a:c1:4e,-48992
8a:4e:c1:3a:a1:10,-47000
