bssid,rss
58:86:94:35:f8:c8,-90000
58:86:94:61:03:8a,-88000
50:c7:bf:7f:34:57,-88000
24:de:c6:ec:65:01,-86996
58:86:94:29:56:f4,-86000
16:cb:19:13:57:4c,-85996
90:9f:33:d7:ac:fa,-85500
24:de:c6:ec:65:00,-85000
70:5d:cc:82:c9:9c,-85000
3a:ca:84:36:96:72,-84000
fa:8f:ca:5b:61:3d,-84000
24:de:c6:ec:59:80,-83999
24:de:c6:ec:59:81,-83001
58:86:94:59:1c:82,-83000
64:a5:c3:63:df:67,-82999
72:5d:cc:c2:c9:9c,-82000
2c:56:dc:84:e6:a8,-81991
90:9f:33:a9:09:42,-80994
16:18:c3:9e:8f:c2,-80500
64:e5:99:32:fc:38,-80333
88:1f:a1:3a:c1:4f,-79990
8a:4f:c1:3a:a1:10,-79987
16:cb:19:13:89:25,-79000
70:5d:cc:dc:82:07,-78997
58:86:94:0e:d5:82,-78995
d4:5d:64:a0:6c:c4,-78991
40:ca:63:77:80:5b,-78003
24:de:c6:e3:40:91,-76996
90:9f:33:a8:09:42,-76007
24:de:c6:e3:40:90,-75997
70:5d:cc:dc:82:09,-74999
64:a5:c3:63:df:66,-72014
70:5d:cc:e3:01:36,-72007
d8:c7:c8:df:02:90,-72005
90:9f:33:d7:ac:f8,-72000
d8:c7:c8:df:02:91,-71007
58:86:94:59:1c:80,-70991
24:de:c6:e3:40:80,-70008
24:de:c6:e3:40:81,-68009
60:38:e0:c4:e8:9b,-67001
60:38:e0:c4:e8:9a,-66003
da:9c:67:d2:04:51,-65020
00:26:66:87:04:b4,-64333
70:5d:cc:dc:82:05,-63006
d4:5d:64:a0:6c:c0,-61997
d8:c7:c8:df:21:70,-57002
d8:c7:c8:df:21:71,-57002
60:38:e0:c4:e8:9c,-55009
60:38:e0:c4:e8:99,-54009
88:36:6c:ad:18:74,-53002
8a:36:6c:cd:18:74,-52006
8a:4e:c1:3a:a1:10,-52004
88:1f:a1:3a:c1:4e,-52003
2c:6f:c9:1e:1f:ac,-48008
