bssid,rss
24:de:c6:ec:59:80,-84000
24:de:c6:ec:59:81,-84000
2c:56:dc:84:e6:ac,-84000
d4:5d:64:a0:6c:c4,-82000
70:5d:cc:e3:01:36,-82000
3a:ca:84:36:96:72,-81000
58:86:94:59:1c:82,-80000
24:de:c6:e3:40:90,-79000
24:de:c6:e3:40:91,-79000
24:de:c6:e3:40:81,-77000
90:9f:33:d7:ac:fa,-77000
64:a5:c3:63:df:67,-76000
16:18:c3:9e:8f:c2,-75000
16:cb:19:13:89:25,-75000
90:9f:33:a8:09:42,-75000
00:26:66:87:04:b4,-74000
d8:c7:c8:df:02:91,-74000
d8:c7:c8:df:02:90,-73000
64:a5:c3:63:df:66,-70000
2c:56:dc:84:e6:a8,-69000
8a:4f:c1:3a:a1:10,-68000
d4:5d:64:a0:6c:c0,-67000
70:5d:cc:dc:82:07,-67000
88:1f:a1:3a:c1:4f,-67000
72:5d:cc:c2:c9:9c,-66000
70:5d:cc:dc:82:09,-66000
58:86:94:59:1c:80,-66000
40:ca:63:77:80:5b,-64000
90:9f:33:a9:09:42,-63000
d8:c7:c8:df:21:71,-61000
d8:c7:c8:df:21:70,-61000
2c:6f:c9:1e:1f:ac,-58000
60:38:e0:c4:e8:99,-57000
60:38:e0:c4:e8:9c,-57000
90:9f:33:d7:ac:f8,-56000
da:9c:67:d2:04:51,-55000
88:36:6c:ad:18:74,-55000
60:38:e0:c4:e8:9b,-54000
60:38:e0:c4:e8:9a,-54000
8a:36:6c:cd:18:74,-53000
70:5d:cc:dc:82:05,-50000
88:1f:a1:3a:c1:4e,-49000
8a:4e:c1:3a:a1:10,-47000
