bssid,rss
24:de:c6:ec:65:01,-87000
16:cb:19:13:57:4c,-86000
24:de:c6:ec:65:00,-85000
24:de:c6:ec:59:80,-84000
3a:ca:84:36:96:72,-84000
58:86:94:59:1c:82,-83000
24:de:c6:ec:59:81,-83000
64:a5:c3:63:df:67,-83000
2c:56:dc:84:e6:a8,-82000
90:9f:33:a9:09:42,-81000
88:1f:a1:3a:c1:4f,-80000
8a:4f:c1:3a:a1:10,-80000
58:86:94:0e:d5:82,-79000
70:5d:cc:dc:82:07,-79000
d4:5d:64:a0:6c:c4,-79000
16:cb:19:13:89:25,-79000
40:ca:63:77:80:5b,-78000
24:de:c6:e3:40:91,-77000
24:de:c6:e3:40:90,-76000
90:9f:33:a8:09:42,-76000
70:5d:cc:dc:82:09,-75000
d8:c7:c8:df:02:90,-72000
70:5d:cc:e3:01:36,-72000
90:9f:33:d7:ac:f8,-72000
64:a5:c3:63:df:66,-72000
d8:c7:c8:df:02:91,-71000
58:86:94:59:1c:80,-71000
24:de:c6:e3:40:80,-70000
24:de:c6:e3:40:81,-68000
60:38:e0:c4:e8:9b,-67000
60:38:e0:c4:e8:9a,-66000
da:9c:67:d2:04:51,-65000
70:5d:cc:dc:82:05,-63000
d4:5d:64:a0:6c:c0,-62000
d8:c7:c8:df:21:70,-57000
d8:c7:c8:df:21:71,-57000
60:38:e0:c4:e8:9c,-55000
60:38:e0:c4:e8:99,-54000
88:36:6c:ad:18:74,-53000
8a:4e:c1:3a:a1:10,-52000
8a:36:6c:cd:18:74,-52000
88:1f:a1:3a:c1:4e,-52000
2c:6f:c9:1e:1f:ac,-48000
