bssid,rss
58:86:94:35:f8:c8,-90000
72:5d:cc:4c:9f:ac,-89000
d8:c7:c8:df:05:d0,-89000
d8:c7:c8:df:05:d1,-89000
9c:b6:54:5d:18:51,-89000
58:86:94:64:b7:86,-88000
d8:c7:c8:df:01:d0,-87000
d8:c7:c8:de:39:b0,-87000
d8:c7:c8:df:19:30,-87000
d8:c7:c8:df:19:50,-86000
64:a5:c3:63:df:66,-86000
d8:c7:c8:df:19:51,-86000
d8:c7:c8:df:01:d1,-84000
70:5d:cc:ca:89:8e,-83000
b2:52:16:70:cf:55,-83000
90:9f:33:a8:09:42,-83000
24:de:c6:ec:60:71,-82000
8a:4e:c1:3a:a1:10,-82000
88:1f:a1:3a:c1:4e,-82000
24:de:c6:ec:54:40,-82000
70:5d:cc:e7:7f:96,-81000
24:de:c6:e3:40:f1,-81000
42:49:0f:21:3a:cd,-81000
24:de:c6:e3:40:f0,-81000
72:5d:cc:cf:a7:90,-81000
58:86:94:61:03:8a,-81000
72:5d:cc:c2:c9:9c,-80000
00:26:66:a6:a3:18,-80000
24:de:c6:ec:54:41,-80000
24:de:c6:ec:65:11,-79000
d8:c7:c8:df:21:70,-78000
90:9f:33:a9:09:42,-78000
58:86:94:29:56:f6,-78000
d8:c7:c8:df:21:71,-78000
24:de:c6:ec:65:10,-78000
1e:39:29:54:5e:74,-75000
02:68:eb:52:f7:16,-71000
24:de:c6:ec:60:61,-71000
88:36:6c:a2:50:7a,-69000
24:de:c6:ec:60:60,-69000
58:86:94:29:56:f4,-63000
24:de:c6:ec:65:00,-63000
24:de:c6:e3:40:e1,-62000
24:de:c6:e3:40:e0,-62000
d8:c7:c8:df:00:b1,-61000
d8:c7:c8:df:00:b0,-61000
24:de:c6:ec:59:91,-57000
24:de:c6:ec:59:90,-57000
24:de:c6:ec:59:81,-54000
24:de:c6:e3:40:90,-53000
24:de:c6:ec:59:80,-53000
24:de:c6:e3:40:91,-53000
d8:c7:c8:df:00:a1,-53000
d8:c7:c8:df:00:a0,-52000
24:de:c6:e3:40:81,-48000
24:de:c6:e3:40:80,-48000
