bssid,rss
88:36:6c:91:c2:66,-91000
ac:9e:17:a5:96:18,-91000
9c:b6:54:5d:18:51,-89000
70:5d:cc:cb:93:ac,-89000
d8:c7:c8:df:02:90,-87000
d8:c7:c8:df:02:91,-86000
d8:c7:c8:df:01:d1,-86000
00:26:66:a6:a3:18,-85998
64:a5:c3:63:df:67,-85500
2c:6f:c9:1e:1f:ac,-85500
d8:c7:c8:de:39:b0,-85001
d8:c7:c8:df:19:51,-85001
58:86:94:6d:cf:22,-85000
64:a5:c3:63:df:66,-84999
88:1f:a1:3a:c1:4f,-84998
d8:c7:c8:df:01:d0,-84001
d8:c7:c8:df:19:50,-84001
8a:4f:c1:3a:a1:10,-84000
60:38:e0:c4:e8:9b,-84000
60:38:e0:c4:e8:9a,-84000
70:5d:cc:ca:89:8e,-83996
24:de:c6:ec:65:11,-83995
d8:c7:c8:de:39:b1,-83002
1e:39:29:54:5e:74,-83000
70:5d:cc:ca:89:8f,-83000
24:de:c6:ec:60:70,-82002
24:de:c6:ec:60:71,-82002
58:86:94:29:56:f6,-82000
da:9c:67:d2:04:51,-82000
24:de:c6:e3:40:f1,-82000
72:5d:cc:ca:89:8c,-82000
72:5d:cc:c2:c9:9c,-82000
72:5d:cc:cf:a7:90,-81004
24:de:c6:e3:40:f0,-81002
60:38:e0:c4:e8:99,-81000
88:36:6c:ad:18:74,-80000
58:86:94:4a:1a:e0,-80000
90:9f:33:a8:09:42,-79997
24:de:c6:ec:65:10,-79000
1c:39:29:10:03:6d,-78998
b2:52:16:70:cf:55,-77999
88:1f:a1:3a:c1:4e,-77995
42:49:0f:21:3a:cd,-76998
8a:4e:c1:3a:a1:10,-76994
90:9f:33:a9:09:42,-75001
70:5d:cc:e7:7f:96,-75000
02:68:eb:52:f7:16,-73001
58:86:94:29:56:f4,-71996
24:de:c6:e3:40:e1,-70999
24:de:c6:e3:40:e0,-70999
d8:c7:c8:df:00:a0,-67991
88:36:6c:a2:50:7a,-67003
24:de:c6:ec:60:61,-67001
d8:c7:c8:df:21:70,-66002
d8:c7:c8:df:21:71,-65005
24:de:c6:ec:59:90,-61994
24:de:c6:ec:59:91,-61993
d8:c7:c8:df:00:a1,-60998
d8:c7:c8:df:00:b1,-60004
d8:c7:c8:df:00:b0,-60004
24:de:c6:e3:40:81,-56000
24:de:c6:ec:59:80,-55995
24:de:c6:e3:40:80,-55001
24:de:c6:e3:40:91,-54997
24:de:c6:e3:40:90,-53998
24:de:c6:ec:59:81,-53998
