bssid,rss
2c:6f:c9:1e:1f:ac,-90000
72:5d:cc:4c:9f:ac,-88998
90:9f:33:10:83:be,-88000
1c:39:29:1e:ad:91,-87997
d8:c7:c8:df:05:d0,-87000
d8:c7:c8:df:19:30,-87000
24:de:c6:ec:59:e0,-87000
88:1f:a1:3a:c1:4f,-86500
1c:39:29:15:07:3f,-86000
d8:c7:c8:df:05:d1,-86000
8a:4f:c1:3a:a1:10,-86000
ac:9e:17:a5:96:18,-86000
d8:c7:c8:df:01:d1,-86000
d8:c7:c8:df:19:31,-85002
64:a5:c3:63:df:67,-85000
8a:36:6c:cd:18:74,-85000
24:de:c6:ec:59:e1,-85000
d8:c7:c8:df:19:50,-84998
d8:c7:c8:df:19:51,-84997
60:38:e0:c4:e8:9b,-84500
88:36:6c:ad:18:74,-84500
60:38:e0:c4:e8:9a,-84000
58:86:94:49:1a:e0,-84000
bc:85:56:3c:8d:69,-84000
64:a5:c3:63:df:66,-83500
70:5d:cc:ca:93:ac,-83000
d8:c7:c8:df:01:d0,-83000
d8:c7:c8:de:39:b0,-82999
70:5d:cc:82:c9:9c,-82997
24:de:c6:ec:54:40,-82000
58:86:94:0e:d5:82,-82000
b2:52:16:70:cf:55,-81991
d8:c7:c8:df:02:91,-81005
d8:c7:c8:df:02:90,-81004
58:86:94:6d:cf:22,-81000
60:38:e0:c4:e8:99,-81000
1e:39:29:54:5e:74,-80995
24:de:c6:e3:40:f1,-80995
24:de:c6:e3:40:f0,-80995
d8:c7:c8:de:39:b1,-80000
72:5d:cc:cf:a7:90,-79001
58:86:94:4a:1a:e0,-79000
24:de:c6:ec:54:41,-79000
90:9f:33:a8:09:42,-78997
da:9c:67:d2:04:51,-78001
70:5d:cc:ca:89:8f,-77999
24:de:c6:ec:65:11,-77998
24:de:c6:ec:65:10,-76999
24:de:c6:ec:60:71,-76002
58:86:94:64:b7:86,-76000
88:1f:a1:3a:c1:4e,-74997
58:86:94:29:56:f6,-74004
00:26:66:a6:a3:18,-74000
1c:39:29:10:03:6d,-73998
24:de:c6:ec:60:70,-73003
02:68:eb:52:f7:16,-72000
42:49:0f:21:3a:cd,-71998
d8:c7:c8:df:21:71,-71001
d8:c7:c8:df:21:70,-71000
90:9f:33:a9:09:42,-70003
24:de:c6:ec:65:01,-70000
70:5d:cc:e7:7f:96,-69007
24:de:c6:ec:65:00,-69000
24:de:c6:e3:40:e1,-67997
8a:4e:c1:3a:a1:10,-67005
24:de:c6:e3:40:e0,-67000
24:de:c6:ec:60:60,-66001
24:de:c6:ec:60:61,-66001
58:86:94:29:56:f4,-63999
d8:c7:c8:df:00:b1,-63001
d8:c7:c8:df:00:b0,-62002
88:36:6c:a2:50:7a,-62002
d8:c7:c8:df:00:a1,-58006
d8:c7:c8:df:00:a0,-56005
24:de:c6:e3:40:81,-53994
24:de:c6:e3:40:80,-52995
24:de:c6:ec:59:80,-51997
24:de:c6:ec:59:81,-50998
24:de:c6:ec:59:90,-48001
24:de:c6:ec:59:91,-48000
24:de:c6:e3:40:91,-47001
24:de:c6:e3:40:90,-46002
