bssid,rss
d8:c7:c8:df:05:d1,-88645
d8:c7:c8:df:05:d0,-88468
d8:c7:c8:df:19:30,-88000
1c:39:29:15:07:3f,-88000
d8:c7:c8:df:02:90,-88000
8a:36:6c:cd:18:74,-87229
70:5d:cc:82:c9:9e,-87000
d8:c7:c8:df:19:31,-86000
70:5d:cc:bf:a7:90,-86000
58:86:94:6d:cf:20,-86000
60:38:e0:c4:e8:9b,-84000
90:9f:33:10:83:be,-84000
58:86:94:64:b7:86,-84000
d8:c7:c8:df:00:b0,-83406
88:36:6c:ad:18:74,-83000
58:86:94:4a:1a:e0,-83000
00:26:66:a6:a3:18,-82000
da:9c:67:d2:04:51,-82000
d8:c7:c8:df:00:b1,-81760
60:38:e0:c4:e8:99,-81000
1e:39:29:54:5e:74,-80000
58:86:94:0e:d5:82,-80000
70:5d:cc:07:d0:06,-80000
d8:c7:c8:df:19:50,-79239
24:de:c6:ec:60:70,-79000
24:de:c6:ec:60:71,-79000
72:5d:cc:cf:a7:90,-79000
58:86:94:29:56:f6,-78937
d8:c7:c8:df:19:51,-78593
64:a5:c3:63:df:66,-78062
d8:c7:c8:de:39:b0,-77416
02:68:eb:52:f7:16,-77291
1c:39:29:10:03:6d,-77000
58:86:94:6d:cf:22,-77000
d8:c7:c8:de:39:b1,-76416
72:5d:cc:ca:89:8c,-76000
70:5d:cc:ca:89:8f,-75177
8a:4e:c1:3a:a1:10,-74645
24:de:c6:ec:65:10,-74239
24:de:c6:e3:40:f1,-74062
24:de:c6:e3:40:f0,-74062
24:de:c6:ec:65:11,-73416
70:5d:cc:e7:7f:96,-73000
42:49:0f:21:3a:cd,-72416
b2:52:16:70:cf:55,-70062
88:1f:a1:3a:c1:4e,-70000
90:9f:33:a8:09:42,-69947
24:de:c6:ec:65:00,-69000
d8:c7:c8:df:21:70,-68000
d8:c7:c8:df:21:71,-68000
24:de:c6:ec:59:90,-67291
24:de:c6:ec:59:91,-66468
90:9f:33:a9:09:42,-66009
70:5d:cc:cb:93:ac,-65114
d8:c7:c8:df:00:a0,-65000
d8:c7:c8:df:00:a1,-65000
24:de:c6:e3:40:e1,-63531
24:de:c6:e3:40:e0,-63531
24:de:c6:ec:60:61,-63000
88:36:6c:a2:50:7a,-62708
24:de:c6:ec:60:60,-62000
24:de:c6:ec:65:01,-60124
58:86:94:29:56:f4,-59885
24:de:c6:e3:40:90,-55354
24:de:c6:e3:40:91,-55354
24:de:c6:ec:59:80,-54000
24:de:c6:ec:59:81,-53645
24:de:c6:e3:40:81,-47760
24:de:c6:e3:40:80,-46114
