bssid,rss
40:ca:63:77:80:5b,-91.0
00:26:66:87:04:b4,-86.0
72:5d:cc:cf:a7:90,-86.0
24:de:c6:ec:59:90,-82.0
58:86:94:59:1c:80,-81.0
2c:56:dc:84:e6:ac,-81.0
24:de:c6:ec:59:91,-81.0
d4:5d:64:a0:6c:c0,-79.0
24:de:c6:ec:65:00,-78.0
24:de:c6:ec:65:01,-77.0
88:1f:a1:3a:c1:4f,-74.0
70:5d:cc:e2:c9:7e,-74.0
8a:4f:c1:3a:a1:10,-73.0
2c:6f:c9:1e:1f:ac,-73.0
24:de:c6:ec:59:80,-72.0
24:de:c6:ec:59:81,-72.0
58:86:94:0e:d5:80,-72.0
d8:c7:c8:df:02:90,-71.0
d8:c7:c8:df:02:91,-71.0
58:86:94:61:03:8a,-71.0
88:36:6c:ad:18:74,-70.0
16:18:c3:9e:8f:c2,-70.0
90:9f:33:d7:ac:f8,-69.0
24:de:c6:e3:40:90,-68.0
24:de:c6:e3:40:91,-68.0
64:a5:c3:63:df:67,-68.0
60:38:e0:c4:e8:9a,-67.0
8a:36:6c:cd:18:74,-66.0
60:38:e0:c4:e8:9b,-66.0
24:de:c6:e3:40:81,-66.0
24:de:c6:e3:40:80,-65.0
2c:56:dc:84:e6:a8,-65.0
70:5d:cc:82:c9:9e,-64.0
16:cb:19:13:89:25,-64.0
16:cb:19:13:57:4c,-63.0
60:38:e0:c4:e8:9c,-63.0
60:38:e0:c4:e8:99,-63.0
64:e5:99:32:fc:38,-63.0
90:9f:33:a8:09:42,-61.0
64:a5:c3:63:df:66,-60.0
70:5d:cc:82:c9:9c,-59.0
58:86:94:0e:d5:82,-57.0
72:5d:cc:c2:c9:9c,-56.0
d8:c7:c8:df:21:70,-55.0
d8:c7:c8:df:21:71,-54.0
90:9f:33:a9:09:42,-53.0
da:9c:67:d2:04:51,-48.0
88:1f:a1:3a:c1:4e,-46.0
8a:4e:c1:3a:a1:10,-46.0
