bssid,rss
24:de:c6:ec:60:60,-88000
58:86:94:29:56:f4,-88000
24:de:c6:ec:59:80,-84000
2c:56:dc:84:e6:ac,-83996
24:de:c6:ec:59:81,-83996
24:de:c6:ec:65:00,-83000
d4:5d:64:a0:6c:c4,-82003
58:86:94:61:03:88,-82000
72:5d:cc:cf:a7:90,-82000
70:5d:cc:e3:01:36,-82000
3a:ca:84:36:96:72,-80999
24:de:c6:ec:65:01,-80000
58:86:94:59:1c:82,-80000
24:de:c6:e3:40:90,-78997
24:de:c6:e3:40:91,-78997
90:9f:33:d7:ac:fa,-77000
24:de:c6:e3:40:81,-76994
64:a5:c3:63:df:67,-75991
16:cb:19:13:89:25,-75001
16:18:c3:9e:8f:c2,-75001
58:86:94:0e:d5:80,-75000
90:9f:33:a8:09:42,-74993
00:26:66:87:04:b4,-74000
d8:c7:c8:df:02:91,-73996
d8:c7:c8:df:02:90,-72996
70:5d:cc:82:c9:9e,-72000
58:86:94:61:03:8a,-71000
64:a5:c3:63:df:66,-69990
70:5d:cc:82:c9:9c,-69000
2c:56:dc:84:e6:a8,-68996
8a:4f:c1:3a:a1:10,-68000
d4:5d:64:a0:6c:c0,-67005
70:5d:cc:dc:82:07,-67000
88:1f:a1:3a:c1:4f,-67000
58:86:94:59:1c:80,-66007
72:5d:cc:c2:c9:9c,-66000
70:5d:cc:dc:82:09,-66000
58:86:94:0e:d5:82,-66000
40:ca:63:77:80:5b,-64000
90:9f:33:a9:09:42,-63000
16:cb:19:13:57:4c,-63000
24:de:c6:e3:40:80,-62000
d8:c7:c8:df:21:71,-60998
d8:c7:c8:df:21:70,-60998
2c:6f:c9:1e:1f:ac,-58003
60:38:e0:c4:e8:9c,-56995
60:38:e0:c4:e8:99,-56995
90:9f:33:d7:ac:f8,-56005
88:36:6c:ad:18:74,-55005
da:9c:67:d2:04:51,-54998
60:38:e0:c4:e8:9a,-54003
60:38:e0:c4:e8:9b,-54002
64:e5:99:32:fc:38,-54000
8a:36:6c:cd:18:74,-53000
70:5d:cc:dc:82:05,-50000
88:1f:a1:3a:c1:4e,-48996
8a:4e:c1:3a:a1:10,-46997
