bssid,rss
40:ca:63:77:80:5b,-91000
24:de:c6:ec:65:11,-87000
24:de:c6:ec:65:10,-87000
00:26:66:87:04:b4,-86000
72:5d:cc:cf:a7:90,-86000
90:9f:33:d7:ac:fa,-86000
70:5d:cc:ca:89:8e,-84000
58:86:94:61:03:88,-83000
24:de:c6:ec:59:90,-81749
2c:56:dc:84:e6:ac,-81200
58:86:94:59:1c:80,-81000
24:de:c6:ec:59:91,-80799
24:de:c6:e3:40:e0,-80000
58:86:94:29:56:f4,-79000
d4:5d:64:a0:6c:c0,-79000
24:de:c6:ec:65:00,-78000
24:de:c6:ec:65:01,-77000
24:de:c6:e3:40:e1,-77000
70:5d:cc:e2:c9:7e,-74000
88:1f:a1:3a:c1:4f,-73849
2c:6f:c9:1e:1f:ac,-73000
8a:4f:c1:3a:a1:10,-72899
58:86:94:0e:d5:80,-72150
24:de:c6:ec:59:81,-71749
24:de:c6:ec:59:80,-71347
58:86:94:4a:1a:e0,-71000
58:86:94:61:03:8a,-71000
02:68:eb:52:f7:16,-71000
88:36:6c:a2:50:7a,-71000
d8:c7:c8:df:02:90,-70949
d8:c7:c8:df:02:91,-70949
16:18:c3:9e:8f:c2,-70401
88:36:6c:ad:18:74,-70000
fa:8f:ca:5b:61:3d,-70000
90:9f:33:d7:ac:f8,-69000
64:a5:c3:63:df:67,-68301
24:de:c6:e3:40:91,-67598
24:de:c6:e3:40:90,-67548
60:38:e0:c4:e8:9a,-67050
60:38:e0:c4:e8:9b,-66150
8a:36:6c:cd:18:74,-66000
24:de:c6:e3:40:81,-65648
2c:56:dc:84:e6:a8,-65050
24:de:c6:e3:40:80,-64698
70:5d:cc:82:c9:9e,-64050
16:cb:19:13:89:25,-63899
64:e5:99:32:fc:38,-63200
60:38:e0:c4:e8:9c,-63050
60:38:e0:c4:e8:99,-63000
16:cb:19:13:57:4c,-62899
90:9f:33:a8:09:42,-61150
64:a5:c3:63:df:66,-59899
70:5d:cc:82:c9:9c,-59150
58:86:94:0e:d5:82,-57000
72:5d:cc:c2:c9:9c,-56100
d8:c7:c8:df:21:70,-55200
d8:c7:c8:df:21:71,-54250
90:9f:33:a9:09:42,-53451
da:9c:67:d2:04:51,-48602
88:1f:a1:3a:c1:4e,-46301
8a:4e:c1:3a:a1:10,-46050
