bssid,rss
d8:c7:c8:df:19:31,-88994
d8:c7:c8:df:02:91,-88500
60:38:e0:c4:e8:99,-88000
2c:6f:c9:1e:1f:ac,-88000
d8:c7:c8:df:02:90,-88000
d8:c7:c8:de:39:b0,-88000
ac:9e:17:a5:96:18,-88000
24:de:c6:e3:40:f1,-87993
24:de:c6:e3:40:f0,-87992
d8:c7:c8:de:39:b1,-87500
64:a5:c3:63:df:67,-87000
b2:52:16:70:cf:55,-86997
8a:36:6c:cd:18:74,-86000
70:5d:cc:cb:93:ac,-86000
24:de:c6:ec:59:e0,-86000
72:5d:cc:c2:c9:9c,-86000
58:86:94:61:03:8a,-86000
d8:c7:c8:df:01:d0,-86000
24:de:c6:ec:60:70,-85996
72:5d:cc:ca:89:8c,-85500
16:cb:19:13:57:4c,-85000
d8:c7:c8:df:19:30,-85000
58:86:94:64:b7:86,-85000
70:56:81:ce:82:c3,-84999
70:5d:cc:bf:a7:90,-84995
64:a5:c3:63:df:66,-84993
24:de:c6:ec:60:71,-84000
72:5d:cc:4c:9f:ac,-84000
58:86:94:29:56:f6,-83998
70:5d:cc:ca:89:8f,-83000
16:cb:19:13:89:25,-83000
42:49:0f:21:3a:cd,-82998
00:26:66:a6:a3:18,-82998
d8:c7:c8:df:21:71,-82996
58:86:94:6d:cf:22,-81999
58:86:94:4a:1a:e0,-81996
d8:c7:c8:df:19:51,-81996
70:5d:cc:82:c9:9e,-81996
90:9f:33:a9:09:42,-81991
1e:39:29:54:5e:74,-81002
da:9c:67:d2:04:51,-81000
d8:c7:c8:df:19:50,-80997
70:5d:cc:e7:7f:96,-80996
70:5d:cc:ca:89:8e,-80000
1c:39:29:10:03:6d,-80000
70:5d:cc:82:c9:9c,-79998
90:9f:33:a8:09:42,-79997
02:68:eb:52:f7:16,-79995
72:5d:cc:cf:a7:90,-78996
d8:c7:c8:df:21:70,-78004
58:86:94:29:56:f4,-77994
8a:4e:c1:3a:a1:10,-74991
24:de:c6:ec:60:60,-71000
88:1f:a1:3a:c1:4e,-70995
24:de:c6:e3:40:e0,-70666
24:de:c6:e3:40:e1,-69999
24:de:c6:ec:65:10,-69002
24:de:c6:ec:65:11,-69002
d8:c7:c8:df:00:b0,-68998
d8:c7:c8:df:00:b1,-68998
d8:c7:c8:df:00:a1,-62995
d8:c7:c8:df:00:a0,-62995
24:de:c6:ec:65:00,-61006
24:de:c6:ec:59:81,-59997
88:36:6c:a2:50:7a,-59997
24:de:c6:ec:59:80,-59995
24:de:c6:ec:65:01,-58008
24:de:c6:ec:59:90,-58000
24:de:c6:ec:59:91,-58000
24:de:c6:e3:40:91,-57998
24:de:c6:e3:40:90,-57997
24:de:c6:e3:40:81,-54998
24:de:c6:e3:40:80,-54997
