bssid,rss
d8:c7:c8:df:19:31,-89000
60:38:e0:c4:e8:99,-88000
24:de:c6:e3:40:f1,-88000
24:de:c6:e3:40:f0,-88000
b2:52:16:70:cf:55,-87000
24:de:c6:ec:60:70,-86000
8a:36:6c:cd:18:74,-86000
72:5d:cc:c2:c9:9c,-86000
70:5d:cc:cb:93:ac,-86000
70:56:81:ce:82:c3,-85000
70:5d:cc:bf:a7:90,-85000
16:cb:19:13:57:4c,-85000
64:a5:c3:63:df:66,-85000
24:de:c6:ec:60:71,-84000
58:86:94:29:56:f6,-84000
42:49:0f:21:3a:cd,-83000
00:26:66:a6:a3:18,-83000
d8:c7:c8:df:21:71,-83000
58:86:94:4a:1a:e0,-82000
d8:c7:c8:df:19:51,-82000
90:9f:33:a9:09:42,-82000
70:5d:cc:82:c9:9e,-82000
58:86:94:6d:cf:22,-82000
d8:c7:c8:df:19:50,-81000
1e:39:29:54:5e:74,-81000
70:5d:cc:e7:7f:96,-81000
02:68:eb:52:f7:16,-80000
70:5d:cc:82:c9:9c,-80000
1c:39:29:10:03:6d,-80000
90:9f:33:a8:09:42,-80000
72:5d:cc:cf:a7:90,-79000
d8:c7:c8:df:21:70,-78000
58:86:94:29:56:f4,-78000
8a:4e:c1:3a:a1:10,-75000
24:de:c6:ec:60:60,-71000
88:1f:a1:3a:c1:4e,-71000
24:de:c6:e3:40:e1,-70000
24:de:c6:ec:65:11,-69000
24:de:c6:ec:65:10,-69000
d8:c7:c8:df:00:b0,-69000
d8:c7:c8:df:00:b1,-69000
d8:c7:c8:df:00:a0,-63000
d8:c7:c8:df:00:a1,-63000
24:de:c6:ec:65:00,-61000
88:36:6c:a2:50:7a,-60000
24:de:c6:ec:59:80,-60000
24:de:c6:ec:59:81,-60000
24:de:c6:e3:40:90,-58000
24:de:c6:ec:59:90,-58000
24:de:c6:e3:40:91,-58000
24:de:c6:ec:65:01,-58000
24:de:c6:ec:59:91,-58000
24:de:c6:e3:40:80,-55000
24:de:c6:e3:40:81,-55000
