bssid,rss
ac:9e:17:a5:96:18,-89333
64:a5:c3:63:df:67,-87000
d8:c7:c8:de:39:b0,-86666
d8:c7:c8:df:01:d1,-86000
58:86:94:61:03:8a,-86000
d8:c7:c8:de:39:b1,-85221
d8:c7:c8:df:01:d0,-85110
58:86:94:6d:cf:22,-85000
88:1f:a1:3a:c1:4f,-85000
d8:c7:c8:df:19:30,-84000
d8:c7:c8:df:19:31,-84000
60:38:e0:c4:e8:9a,-84000
8a:4f:c1:3a:a1:10,-84000
60:38:e0:c4:e8:9b,-84000
70:5d:cc:ca:89:8e,-84000
72:5d:cc:ca:89:8c,-83110
1e:39:29:54:5e:74,-83000
16:cb:19:13:89:25,-83000
70:5d:cc:ca:89:8f,-83000
00:26:66:a6:a3:18,-82667
24:de:c6:ec:60:71,-82000
d8:c7:c8:df:19:51,-81667
da:9c:67:d2:04:51,-81444
24:de:c6:ec:60:70,-81444
b2:52:16:70:cf:55,-81332
72:5d:cc:cf:a7:90,-81000
70:5d:cc:bf:a7:90,-81000
60:38:e0:c4:e8:99,-81000
d8:c7:c8:df:19:50,-80667
64:a5:c3:63:df:66,-80556
24:de:c6:e3:40:f1,-80333
58:86:94:4a:1a:e0,-80000
24:de:c6:e3:40:f0,-79889
1c:39:29:10:03:6d,-79000
90:9f:33:a8:09:42,-78889
42:49:0f:21:3a:cd,-78666
58:86:94:29:56:f6,-78111
70:5d:cc:82:c9:9c,-77000
70:5d:cc:82:c9:9e,-77000
70:5d:cc:e7:7f:96,-76666
24:de:c6:ec:65:11,-76223
d8:c7:c8:df:21:70,-74887
d8:c7:c8:df:21:71,-74443
02:68:eb:52:f7:16,-73000
90:9f:33:a9:09:42,-71667
24:de:c6:ec:65:10,-71000
58:86:94:29:56:f4,-70889
88:1f:a1:3a:c1:4e,-68556
24:de:c6:e3:40:e0,-68222
24:de:c6:e3:40:e1,-68222
8a:4e:c1:3a:a1:10,-67001
24:de:c6:ec:60:61,-67000
24:de:c6:ec:65:00,-66000
24:de:c6:ec:65:01,-63000
d8:c7:c8:df:00:b1,-62221
d8:c7:c8:df:00:b0,-61666
88:36:6c:a2:50:7a,-60889
24:de:c6:ec:59:91,-59222
24:de:c6:ec:59:90,-59222
d8:c7:c8:df:00:a0,-58556
d8:c7:c8:df:00:a1,-56000
24:de:c6:e3:40:91,-55000
24:de:c6:e3:40:81,-54333
24:de:c6:e3:40:90,-54000
24:de:c6:ec:59:81,-53444
24:de:c6:e3:40:80,-53333
24:de:c6:ec:59:80,-53222
