bssid,rss
ac:9e:17:a5:96:18,-91.0
00:26:66:a6:a3:18,-86.0
d8:c7:c8:df:01:d1,-86.0
d8:c7:c8:df:19:51,-85.0
d8:c7:c8:de:39:b0,-85.0
88:1f:a1:3a:c1:4f,-85.0
64:a5:c3:63:df:66,-85.0
58:86:94:6d:cf:22,-85.0
d8:c7:c8:df:19:50,-84.0
d8:c7:c8:df:01:d0,-84.0
8a:4f:c1:3a:a1:10,-84.0
70:5d:cc:ca:89:8e,-84.0
60:38:e0:c4:e8:9a,-84.0
24:de:c6:ec:65:11,-84.0
60:38:e0:c4:e8:9b,-84.0
70:5d:cc:ca:89:8f,-83.0
d8:c7:c8:de:39:b1,-83.0
1e:39:29:54:5e:74,-83.0
da:9c:67:d2:04:51,-82.0
72:5d:cc:ca:89:8c,-82.0
58:86:94:29:56:f6,-82.0
24:de:c6:e3:40:f1,-82.0
24:de:c6:ec:60:71,-82.0
24:de:c6:ec:60:70,-82.0
60:38:e0:c4:e8:99,-81.0
24:de:c6:e3:40:f0,-81.0
72:5d:cc:cf:a7:90,-81.0
58:86:94:4a:1a:e0,-80.0
90:9f:33:a8:09:42,-80.0
1c:39:29:10:03:6d,-79.0
b2:52:16:70:cf:55,-78.0
88:1f:a1:3a:c1:4e,-78.0
42:49:0f:21:3a:cd,-77.0
8a:4e:c1:3a:a1:10,-77.0
70:5d:cc:e7:7f:96,-75.0
90:9f:33:a9:09:42,-75.0
02:68:eb:52:f7:16,-73.0
58:86:94:29:56:f4,-72.0
24:de:c6:e3:40:e0,-71.0
24:de:c6:e3:40:e1,-71.0
d8:c7:c8:df:00:a0,-68.0
88:36:6c:a2:50:7a,-67.0
24:de:c6:ec:60:61,-67.0
d8:c7:c8:df:21:70,-66.0
d8:c7:c8:df:21:71,-65.0
24:de:c6:ec:59:91,-62.0
24:de:c6:ec:59:90,-62.0
d8:c7:c8:df:00:a1,-61.0
d8:c7:c8:df:00:b1,-60.0
d8:c7:c8:df:00:b0,-60.0
24:de:c6:ec:59:80,-56.0
24:de:c6:e3:40:81,-56.0
24:de:c6:e3:40:91,-55.0
24:de:c6:e3:40:80,-55.0
24:de:c6:ec:59:81,-54.0
24:de:c6:e3:40:90,-54.0
