bssid,rss
ac:9e:17:a5:96:18,-91000
00:26:66:a6:a3:18,-86000
d8:c7:c8:df:01:d1,-86000
d8:c7:c8:df:19:51,-85000
d8:c7:c8:de:39:b0,-85000
88:1f:a1:3a:c1:4f,-85000
64:a5:c3:63:df:66,-85000
58:86:94:6d:cf:22,-85000
d8:c7:c8:df:19:50,-84000
d8:c7:c8:df:01:d0,-84000
8a:4f:c1:3a:a1:10,-84000
70:5d:cc:ca:89:8e,-84000
60:38:e0:c4:e8:9a,-84000
24:de:c6:ec:65:11,-84000
60:38:e0:c4:e8:9b,-84000
70:5d:cc:ca:89:8f,-83000
d8:c7:c8:de:39:b1,-83000
1e:39:29:54:5e:74,-83000
da:9c:67:d2:04:51,-82000
72:5d:cc:ca:89:8c,-82000
58:86:94:29:56:f6,-82000
24:de:c6:e3:40:f1,-82000
24:de:c6:ec:60:71,-82000
24:de:c6:ec:60:70,-82000
60:38:e0:c4:e8:99,-81000
24:de:c6:e3:40:f0,-81000
72:5d:cc:cf:a7:90,-81000
58:86:94:4a:1a:e0,-80000
90:9f:33:a8:09:42,-80000
1c:39:29:10:03:6d,-79000
b2:52:16:70:cf:55,-78000
88:1f:a1:3a:c1:4e,-78000
42:49:0f:21:3a:cd,-77000
8a:4e:c1:3a:a1:10,-77000
70:5d:cc:e7:7f:96,-75000
90:9f:33:a9:09:42,-75000
02:68:eb:52:f7:16,-73000
58:86:94:29:56:f4,-72000
24:de:c6:e3:40:e0,-71000
24:de:c6:e3:40:e1,-71000
d8:c7:c8:df:00:a0,-68000
88:36:6c:a2:50:7a,-67000
24:de:c6:ec:60:61,-67000
d8:c7:c8:df:21:70,-66000
d8:c7:c8:df:21:71,-65000
24:de:c6:ec:59:91,-62000
24:de:c6:ec:59:90,-62000
d8:c7:c8:df:00:a1,-61000
d8:c7:c8:df:00:b1,-60000
d8:c7:c8:df:00:b0,-60000
24:de:c6:ec:59:80,-56000
24:de:c6:e3:40:81,-56000
24:de:c6:e3:40:91,-55000
24:de:c6:e3:40:80,-55000
24:de:c6:ec:59:81,-54000
24:de:c6:e3:40:90,-54000
