bssid,rss
70:5d:cc:e7:7f:96,-91000
24:de:c6:ec:60:60,-87000
d8:c7:c8:df:18:20,-87000
9c:b6:54:5d:18:51,-86000
24:de:c6:ec:59:80,-86000
24:de:c6:ec:59:81,-86000
24:de:c6:ec:65:01,-86000
88:36:6c:a2:50:7a,-85000
86:25:19:29:bf:54,-85000
24:de:c6:ec:65:00,-85000
d8:c7:c8:df:18:21,-84000
24:de:c6:ec:60:61,-84000
24:de:c6:e3:40:90,-84000
24:de:c6:e3:40:91,-82000
24:de:c6:e3:40:80,-80000
24:de:c6:e3:40:81,-79000
88:36:6c:91:c2:66,-78000
70:5d:cc:e3:30:ce,-73000
d8:c7:c8:df:01:d1,-68000
d8:c7:c8:df:01:d0,-67000
d8:c7:c8:df:00:b0,-38000
d8:c7:c8:df:00:b1,-38000
d8:c7:c8:df:00:a1,-37000
d8:c7:c8:df:00:a0,-36000
