bssid,rss
9c:b6:54:5d:18:51,-88000
88:36:6c:91:c2:66,-88000
24:de:c6:ec:65:10,-87000
58:86:94:64:b7:86,-87000
24:de:c6:e3:40:f1,-87000
24:de:c6:e3:40:f0,-87000
24:de:c6:ec:65:11,-87000
58:86:94:29:56:f6,-85000
58:86:94:6d:cf:22,-85000
d8:c7:c8:df:21:71,-84000
02:68:eb:52:f7:16,-84000
72:5d:cc:cf:a7:90,-84000
d8:c7:c8:df:21:70,-83000
8a:4e:c1:3a:a1:10,-82000
1e:39:29:54:5e:74,-81000
1c:39:29:10:03:6d,-81000
b2:52:16:70:cf:55,-80000
00:26:66:a6:a3:18,-80000
42:49:0f:21:3a:cd,-80000
88:1f:a1:3a:c1:4e,-79000
58:86:94:29:56:f4,-78000
70:5d:cc:e7:7f:96,-75000
24:de:c6:e3:40:e1,-72000
24:de:c6:e3:40:e0,-72000
24:de:c6:ec:59:91,-71000
24:de:c6:ec:59:90,-71000
88:36:6c:a2:50:7a,-71000
d8:c7:c8:df:00:b0,-60000
d8:c7:c8:df:00:b1,-60000
24:de:c6:e3:40:91,-58000
24:de:c6:e3:40:90,-57000
24:de:c6:ec:59:80,-56000
24:de:c6:ec:59:81,-55000
24:de:c6:e3:40:80,-49000
d8:c7:c8:df:00:a1,-49000
24:de:c6:e3:40:81,-48000
d8:c7:c8:df:00:a0,-48000
