timestamp,ssid,bssid,frequency,rss,wifiNo,legit
2313618651339,sungju5G,88:36:6c:ad:18:74,5765,-56,0,false
2313618465262,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-83,0,false
2313618621459,SGVR,70:5d:cc:e3:01:36,2432,-72,0,false
2313618278058,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-76,0,false
2313618277878,eduroam,d8:c7:c8:df:02:90,5180,-77,0,false
2313619114210,LOD2,8a:4e:c1:3a:a1:10,2462,-55,0,false
2313618785794,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-81,0,false
2313619125956,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-81,0,false
2313618785630,LOD2,8a:4f:c1:3a:a1:10,5785,-77,0,false
2313618279657,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-77,0,false
2313618709023,DIRECT-4C-HP ,16:cb:19:13:57:4c,2437,-83,0,false
2313618363352,sungju,8a:36:6c:cd:18:74,2417,-55,0,false
2313618620982,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-75,0,false
2313618970838,SWTV2438,d4:5d:64:a0:6c:c0,2452,-59,0,false
2313618714149,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-81,0,false
2313619133836,Lee2435,70:5d:cc:dc:82:05,2462,-69,0,false
2313619361516,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-74,0,false
2313618714272,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-77,0,false
2313619119762,one8sky,88:1f:a1:3a:c1:4e,2462,-54,0,false
2313618786704,LOD2,88:1f:a1:3a:c1:4f,5785,-77,0,false
2313618870047,lemontree,60:38:e0:c4:e8:9a,5805,-68,0,false
2313618870471,kaist_nlp,60:38:e0:c4:e8:9b,5805,-68,0,false
2313619100798,kaist_nlp,60:38:e0:c4:e8:9c,2462,-62,0,false
2313619129518,lemontree,60:38:e0:c4:e8:99,2462,-62,0,false
2313618283106,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-85,0,false
2313618819133,iptime2434,90:9f:33:d7:ac:f8,2447,-74,0,false
2313618273572,4439,50:c7:bf:7f:34:57,2412,-88,0,false
2313618992434,SWTV_2436,00:26:66:87:04:b4,2457,-70,0,false
2313618791663,Welcome_KAIST,24:de:c6:e3:40:90,5785,-77,0,false
2313618456195,AL3436,58:86:94:59:1c:80,2422,-71,0,false
2313618731247,mlvrlab,90:9f:33:a9:09:42,2442,-74,0,false
2313618232323,DMLab2,58:86:94:0e:d5:82,2412,-77,0,false
2313618595511,iptime5G,64:e5:99:32:fc:38,5745,-81,0,false
2313618791789,eduroam,24:de:c6:e3:40:91,5785,-77,0,false
2313618446752,eduroam,d8:c7:c8:df:21:70,5220,-62,0,false
2313618447184,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-62,0,false
2313618598388,mlvrlab5G,90:9f:33:a8:09:42,5745,-79,0,false
2313618664076,ISNL1,2c:56:dc:84:e6:a8,2437,-80,0,false
2313618297312,eduroam,24:de:c6:e3:40:81,2412,-77,0,false
2313618297218,Welcome_KAIST,24:de:c6:e3:40:80,2412,-77,0,false
2313618587661,DMBig_1,70:5d:cc:82:c9:9c,5745,-85,0,false
2313620486706,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-86,1,false
2313620683992,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-86,1,false
2313620353880,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-73,1,false
2313620353794,eduroam,d8:c7:c8:df:02:90,5180,-74,1,false
2313621192842,LOD2,8a:4e:c1:3a:a1:10,2462,-56,1,false
2313620864263,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-86,1,false
2313621190092,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-80,1,false
2313620861463,LOD2,8a:4f:c1:3a:a1:10,5785,-73,1,false
2313620354927,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-79,1,false
2313620414280,sungju,8a:36:6c:cd:18:74,2417,-55,1,false
2313620694883,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-74,1,false
2313621026396,SWTV2438,d4:5d:64:a0:6c:c0,2452,-64,1,false
2313621186549,Lee2435,70:5d:cc:dc:82:05,2462,-63,1,false
2313621512820,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-74,1,true
2313620794037,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-77,1,false
2313621183525,one8sky,88:1f:a1:3a:c1:4e,2462,-57,1,false
2313620863796,LOD2,88:1f:a1:3a:c1:4f,5785,-74,1,false
2313620946191,lemontree,60:38:e0:c4:e8:9a,5805,-68,1,false
2313620946308,kaist_nlp,60:38:e0:c4:e8:9b,5805,-68,1,false
2313621207159,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,1,false
2313620292459,,fa:8f:ca:5b:61:3d,2412,-84,1,false
2313620290147,eduroam,24:de:c6:ec:65:01,2412,-83,1,false
2313621202878,lemontree,60:38:e0:c4:e8:99,2462,-56,1,false
2313620358900,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-76,1,false
2313620952385,iptime2434,90:9f:33:d7:ac:f8,2447,-78,1,false
2313620764681,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-55,1,false
2313620736994,Welcome_KAIST,24:de:c6:ec:59:80,2437,-83,1,false
2313620738380,eduroam,24:de:c6:ec:59:81,2437,-84,1,false
2313621114895,SWTV_2436,00:26:66:87:04:b4,2457,-61,1,false
2313620683857,AL3436_5G,58:86:94:59:1c:82,5745,-83,1,false
2313620841383,Welcome_KAIST,24:de:c6:e3:40:90,5785,-73,1,false
2313620483425,AL3436,58:86:94:59:1c:80,2422,-60,1,false
2313620643484,iptime5G,64:e5:99:32:fc:38,5745,-81,1,false
2313620861859,eduroam,24:de:c6:e3:40:91,5785,-74,1,false
2313620524565,eduroam,d8:c7:c8:df:21:70,5220,-55,1,false
2313620524673,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-55,1,false
2313620695504,mlvrlab5G,90:9f:33:a8:09:42,5745,-79,1,false
2313620758014,ISNL1,2c:56:dc:84:e6:a8,2437,-78,1,false
2313620881400,AL3433,58:86:94:61:03:8a,2447,-88,1,false
2313620338541,Welcome_KAIST,24:de:c6:e3:40:80,2412,-73,1,false
2313622748427,,58:86:94:35:f8:c8,2432,-90,2,false
2313622406181,rirolab_2430_2.4G,58:86:94:29:56:f4,2412,-86,2,false
2313622731997,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-85,2,false
2313622717433,SGVR,70:5d:cc:e3:01:36,2432,-81,2,false
2313622436026,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-73,2,false
2313622435893,eduroam,d8:c7:c8:df:02:90,5180,-72,2,false
2313623270565,LOD2,8a:4e:c1:3a:a1:10,2462,-50,2,false
2313622926695,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-81,2,false
2313623256194,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-72,2,false
2313622923813,LOD2,8a:4f:c1:3a:a1:10,5785,-75,2,false
2313622420575,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-78,2,false
2313622840395,DIRECT-4C-HP ,16:cb:19:13:57:4c,2437,-85,2,false
2313622459272,sungju,8a:36:6c:cd:18:74,2417,-54,2,false
2313622757493,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-75,2,false
2313623096013,SWTV2438,d4:5d:64:a0:6c:c0,2452,-60,2,false
2313622839517,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-80,2,false
2313623263617,Lee2435,70:5d:cc:dc:82:05,2462,-65,2,false
2313623663969,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-79,2,true
2313622831367,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-66,2,false
2313623244511,one8sky,88:1f:a1:3a:c1:4e,2462,-49,2,false
2313622924333,LOD2,88:1f:a1:3a:c1:4f,5785,-77,2,false
2313623004428,lemontree,60:38:e0:c4:e8:9a,5805,-66,2,false
2313623004977,kaist_nlp,60:38:e0:c4:e8:9b,5805,-67,2,false
2313623252305,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,2,false
2313623273718,lemontree,60:38:e0:c4:e8:99,2462,-56,2,false
2313622424143,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-77,2,false
2313622996280,iptime2434,90:9f:33:d7:ac:f8,2447,-64,2,false
2313622834890,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-51,2,false
2313622784224,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,2,false
2313622785913,eduroam,24:de:c6:ec:59:81,2437,-84,2,false
2313623166266,SWTV_2436,00:26:66:87:04:b4,2457,-62,2,false
2313622731743,AL3436_5G,58:86:94:59:1c:82,5745,-84,2,false
2313622884082,Welcome_KAIST,24:de:c6:e3:40:90,5785,-75,2,false
2313622568908,AL3436,58:86:94:59:1c:80,2422,-72,2,false
2313622452053,DMBig,72:5d:cc:c2:c9:9c,2417,-82,2,false
2313622436107,DMLab2,58:86:94:0e:d5:82,2412,-75,2,false
2313622692417,iptime5G,64:e5:99:32:fc:38,5745,-79,2,false
2313622888736,eduroam,24:de:c6:e3:40:91,5785,-76,2,false
2313622589545,eduroam,d8:c7:c8:df:21:70,5220,-57,2,false
2313622590761,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-57,2,false
2313622758027,mlvrlab5G,90:9f:33:a8:09:42,5745,-79,2,false
2313622828181,ISNL1,2c:56:dc:84:e6:a8,2437,-78,2,false
